id_municipio;nome_municipio;pib_2019;pib_2020;pib_2021;pib_2022;pib_2023
1100015;Alta Floresta D'Oeste (RO);495775;570242;734467;919520;1046343
1100023;Ariquemes (RO);2579278;2817331;3211294;3809355;4383815
1100031;Cabixi (RO);139976;167153;238414;289783;300832
1100049;Cacoal (RO);2261930;2518845;2792506;3195489;3848468
1100056;Cerejeiras (RO);506494;600630;743062;903099;1006389
1100064;Colorado do Oeste (RO);334922;366922;424846;514219;580899
1100072;Corumbiara (RO);349289;268353;396740;473845;509566
1100080;Costa Marques (RO);238796;261944;316672;349796;413943
1100098;Espigão D'Oeste (RO);624787;666321;773372;921382;1023973
1100106;Guajará-Mirim (RO);892778;984614;1054255;1057883;1145034
1100114;Jaru (RO);1500855;1665151;1764718;2113515;2515558
1100122;Ji-Paraná (RO);3783206;4057176;4230355;4934532;5824472
1100130;Machadinho D'Oeste (RO);632997;700188;890319;909027;1055806
1100148;Nova Brasilândia D'Oeste (RO);359625;403373;549853;641839;731952
1100155;Ouro Preto do Oeste (RO);834959;885132;986046;1089382;1275479
1100189;Pimenta Bueno (RO);1164694;1361160;1642621;1714400;2124340
1100205;Porto Velho (RO);17906443;19446740;20056138;22537533;25402193
1100254;Presidente Médici (RO);427885;464090;560210;653357;776281
1100262;Rio Crespo (RO);111100;133557;184428;265661;265160
1100288;Rolim de Moura (RO);1281314;1403499;1565241;1906485;2287631
1100296;Santa Luzia D'Oeste (RO);142638;156765;213590;262243;291887
1100304;Vilhena (RO);2832738;3152560;4215442;4515120;5115785
1100320;São Miguel do Guaporé (RO);616830;730643;905341;1383948;1549192
1100338;Nova Mamoré (RO);529243;601843;742686;928842;1060566
1100346;Alvorada D'Oeste (RO);260403;289497;352630;435099;486626
1100379;Alto Alegre dos Parecis (RO);288721;324519;483672;570360;575129
1100403;Alto Paraíso (RO);358407;396387;510740;605617;667923
1100452;Buritis (RO);726351;781528;966556;1104420;1221008
1100502;Novo Horizonte do Oeste (RO);165527;185088;231501;268863;331958
1100601;Cacaulândia (RO);144465;169146;275338;219345;238989
1100700;Campo Novo de Rondônia (RO);274661;331894;369127;398841;455251
1100809;Candeias do Jamari (RO);548064;562989;655569;791507;1001610
1100908;Castanheiras (RO);103993;80395;99627;121873;138594
1100924;Chupinguaia (RO);304810;374750;468793;638875;673990
1100940;Cujubim (RO);385069;431816;487756;519136;582148
1101005;Governador Jorge Teixeira (RO);177942;200565;239331;283465;320123
1101104;Itapuã do Oeste (RO);184657;192750;209927;289967;340162
1101203;Ministro Andreazza (RO);216434;224912;297876;414490;440282
1101302;Mirante da Serra (RO);216961;231662;262627;310402;380179
1101401;Monte Negro (RO);291812;340931;389781;452939;526990
1101435;Nova União (RO);117350;128791;157321;168139;193557
1101450;Parecis (RO);107301;120815;155430;164073;201510
1101468;Pimenteiras do Oeste (RO);116514;148823;246209;327048;355185
1101476;Primavera de Rondônia (RO);61854;66465;107030;130973;131193
1101484;São Felipe D'Oeste (RO);89254;102279;130675;157330;177906
1101492;São Francisco do Guaporé (RO);353339;397745;488141;573985;716411
1101500;Seringueiras (RO);236261;250586;332986;381163;446997
1101559;Teixeirópolis (RO);92344;97349;121304;141105;156426
1101609;Theobroma (RO);191524;213106;257436;284565;307754
1101708;Urupá (RO);215416;227775;273505;317568;370214
1101757;Vale do Anari (RO);166804;180702;220948;234965;257311
1101807;Vale do Paraíso (RO);146544;161248;185648;199086;225187
1200013;Acrelândia (AC);253152;291582;398725;445829;502663
